Aikaleima,Artist,Song,Anime/TV show
,Rina Aiuchi,"Koi wa Thrill, Shock, Suspense ",Detective Conan
,Miho Komatsu,Koori no ue ni tatsuyou ni ,Detective Conan
,Yuuka Saegusa,Kumo ni Notte ,Detective Conan
,Rina Aiuchi,Magic ,Detective Conan
,Garnet Crow,Misty Mystery ,Detective Conan
,The High-Lows,Mune ga doki doki ,Detective Conan
,Mai Kuraki,Muteki na Heart ,Detective Conan
,Naifu,Mysterious ,Detective Conan
,Garnet Crow,Mysterious eyes ,Detective Conan
,Garnet Crow,Namida no Yesterday ,Detective Conan
,Miho Komatsu,Nazo ,Detective Conan
,B'z,Pilgrim ,Detective Conan
,Akihide,Rain Man ,Detective Conan
,Mai Kuraki,Revive ,Detective Conan
,Mai Kuraki,Secret of My Heart ,Detective Conan
,B'z,Sekai wa Anata no Iro ni Naru ,Detective Conan
,Mai Kuraki,Shiroi yuki ,Detective Conan
,B'z,Shoudou ,Detective Conan
,Rina Aiuchi,Start ,Detective Conan
,Ziggy,Step by Step ,Detective Conan
,Mai Kuraki,Summer Time Gone ,Detective Conan
,Mai Kuraki,Tomorrow is the last Time ,Detective Conan
,Two-Mix,Truth~A Great Detective of Love~ ,Detective Conan
,Mai Kuraki,Try Again ,Detective Conan
,ZARD,Unmei no Roulette Mawashite ,Detective Conan
,Mai Kuraki,Winter Bells ,Detective Conan
,Mai Kuraki,Your Best Friend ,Detective Conan
,Garnet Crow,Yume mita ato de ,Detective Conan
,Detroit Metal City,Satsugai ,Detroit Metal City
,Song Riders,Be ,Devil Survivor 2 The Animation
,livetune adding Fukase,Take Your Way ,Devil Survivor 2 The Animation
,Okui Masami,"Only One, No. 1 ",Di Gi Charat
,Hikaru Midorikawa & Kousuke Toriumi,Mr.SADISTIC NIGHT ,Diabolic Lovers
,Ai Maeda,Ashita wa Atashi no Kaze ga Fuku ,Digimon
,Ayumi Miyazaki,Brave Heart ,Digimon
,Ayumi Miyazaki,Break up!,Digimon
,Kouji Wada,Butter-fly ,Digimon
,Kouji Wada,Butter-Fly ~tri.Version~ ,Digimon
,Kouji Wada,FIRE!! ,Digimon
,Ai Maeda,I Wish ,Digimon
,Ai Maeda,I wish ~tri.Version~ ,Digimon
,Kouji Wada,Innocent ~Mujaki na Mama de~ ,Digimon
,Ai Maeda,Keep on! ,Digimon
,Ai Maeda,My Tomorrow ,Digimon
,Kouji Wada,Seven -tri version- ,Digimon
,Kouji Wada,Target ~Akai shougeki~ ,Digimon
,Kouji Wada,The biggest dreamer ,Digimon
,Markus Blom,Dinosaur King OP,Dinosaur King
,Hitorie,ONE-ME TWO-HEARTS ,Divine Gate
,L'Arc~en~Ciel,Blurry eyes ,DNA
,Minami,Kawaki wo Ameku,Domestic na Kanojo
,mao,Yume wo Kanaete Doraemon ,Doraemon
,Ziyoou-vachi,Kaen ,Dororo
,amarazashi,Sayonara Gokko ,Dororo
,amazarashi,Sayonara Gokko ,Dororo
,Hironobu Kageyama,Cha-la head-cha-la ,Dragon Ball
,Takayoshi Tanimoto,Dragon Soul ,Dragon Ball
,FLOW,HERO~Kibou no Uta~,Dragon Ball
,Hashimoto Ushio,Romantikku Ageru Yo ,Dragon Ball
,Wands,Sabitsuita Machine Gun ,Dragon Ball
,Leo Ieiri,Junjou ,Dragon Ball Kai
,Field of View,Dan Dan Kokoro Hikareteku ,Dragon Ball Movie 4: Saikyou e no Michi
,Kazuya Yoshii,Chouzetsu?Dynamic! ,Dragon Ball Super
,Good Morning America,Hello Hello Hello ,Dragon Ball Super
,Kiyoshi Hikawa,Limit Break x Survivor ,Dragon Ball Super
,Hironobu Kageyama,Bokutachi wa Tenshi Datta ,Dragon Ball Z
,MANNA,Detekoi Tobikiri ZENKAI Power! ,Dragon Ball Z
,Hironobu Kageyama,We Gotta Power ,Dragon Ball Z
,Yui Horie,Immoralist ,Dragon Crisis!
,GOATBED,Bowie Knife ,DRAMAtical Murder
,Kanako Itou,By My Side ,DRAMAtical Murder
,Yasushi Ishii,Rurou no Zakuro ,Drifters
,Maon Kurosaki,VERMILLION ,Drifters
28.8.2023 klo 11.50.40,Ai Fairuz & Kaito Ishikawa,Onegai Muscle,Dumbbell Nan Kilo Moteru?
,Rookiez is Punk'd,Complication ,Durarara!!
,Rookiez is Punkd,Complication ,Durarara!!
,OKAMOTO'S,HEADHUNT ,Durarara!!
,THREE LIGHTS DOWN KINGS,NEVER SAY NEVER ,Durarara!!
,FLOW,Steppin' Out ,Durarara!!
,Theatre Brook,Uragiri no Yuuyake ,Durarara!!
,Yuya Matsushita,Trust Me ,Durararara
,Sayuri,Sekai no himitsu,Edens Zero
,Savage Genius,Hikari no Yukue ,El Cazador de la Bruja
,FictionJunction YUUKA,Romanesque ,El Cazador de la Bruja
,Chieko Kawabe,Be your girl ,Elfen Lied
,Kumiko Noma,Lilium,Elfen Lied
,Mrs. GREEN APPLE,Inferno,Enen no Shouboutai
,Coldrain,Mayday ,Enen no Shouboutai
,Aimer,Spark again ,Enen no shouboutai
,Keina Suda,veil ,Enen no Shouboutai
,Savage Genius,Forever ,Erementar Gerar
,Monoral,Kiri,Ergo Proxy
,TrySail,adrenaline!!! ,Eromanga Sensei
,ClariS,Hitorigoto ,Eromanga Sensei
,Hiroki Wada,Mystic Eyes ,Escaflowne
,Flow,Days ,Eureka 7
,HALCALI,Tip Taps Tip,Eureka 7
,NIRGILIS,Sakura ,Eureka 7
,Home Made Kazoku,Shounen heart,Eureka 7
,ZZ,Dang Dang ,Eyeshield 21
,Kavka Shishido,Ashita o Narase ,Fairy Tail
,W-inds.,Be As One ,Fairy Tail
,EDGE of LIFE,Believe in Myself ,Fairy Tail
,V6,Break Out! ,Fairy Tail
,Aya Hirano,Daily Hymn ~This Place~ ,Fairy Tail
,Mariya Nishiuchi,Don't let me down ,Fairy Tail
,Idoling!!!,Don't think. Feel!!!,Fairy Tail
,Magic Party,Egao No Mahou ,Fairy Tail
,Daisy x Daisy,Evidence ,Fairy Tail
,Plus,Fiesta ,Fairy Tail
,Funkist,Ft ,Fairy Tail
,Another Infinity feat. Mayumi Morinaga,Glitter (Starving Trancer Remix) ,Fairy Tail
,Shiho Nanba,"Gomen ne, watashi",Fairy Tail
,Plus,Hajimari no Sora ,Fairy Tail
,Daisy x Daisy,HOLY SHINE,Fairy Tail
,Milky Bunny,I Wish ,Fairy Tail
,Watarirouka Hashiritai,Kanpeki guu no ne,Fairy Tail
,Mikuni Shimokawa,Kimi ga iru kara ,Fairy Tail
,Shizuka Kudou,Kimi ga kureta mono,Fairy Tail
,BREATHE,Kimi to Kare to Boku to Kanojo to,Fairy Tail
,BoA,Masayume Chasing ,Fairy Tail
,Do As Infinity,Mysterious Magic ,Fairy Tail
,Tatsuyuki Kobayashi & Suzuki Konomi ,NEVER-END TALE,Fairy Tail
,lol,Power of the dream,Fairy Tail
,Sug,R.P.G. ~Rockin' Playing Game~ ,Fairy Tail
,Idoling!!!,S.O.W. ~Sense of Wonder~ ,Fairy Tail
,Funkist,Snow fairy ,Fairy Tail
,BACK-ON,STRIKE BACK ,Fairy Tail
,HERO,Tenohira ,Fairy Tail
,Jamil,The Rock City Boy ,Fairy Tail
,Daisy x Daisy,Towa No Kizuna ,Fairy Tail
,onelifecrew,Tsuioku Merry-Go-Round ,Fairy Tail
,Aimi,We're the stars ,Fairy Tail
,Da-iCE,Story,Fairy Tail 100-nen Quest
,LiSA,ASH ,Fate/Apocrypha
,GARNiDELiA,"D,sir ",Fate/Apocrypha
,Egoist,Eiyuu unmei no uta ,Fate/Apocrypha
,ASCA,KOE ,Fate/Apocrypha
,Kanon Wakeshima,Sakura Meikyuu ,Fate/Extra CCC
,Takanori Nishikawa,Bright Burning Shout,Fate/Extra: Last Encore
,Sayuri,Tsuki to Hanataba ,Fate/Extra: Last Encore
,Aimer,broKen NIGHT ,Fate/hollow ataraxia
,Sachi Tainaka,Disillusion ,Fate/stay night
,Tainaka Sachi,Kirameku namida wa hoshi ni ,Fate/Stay Night
,LiSA,THIS ILLUSION,Fate/Stay night
,Earthmind,Another Heaven ,Fate/Stay Night: Heaven's Feel
,Kalafina,Believe ,Fate/Stay Night: Unlimited Blade Works
,Kalafina,Ring your bell ,Fate/Stay night: Unlimited Blade Works
,Aimer,Brave Shine ,Fate/Stay night: Unlimited Bladeworks
,Mashiro Ayano,ideal white ,Fate/Stay night: Unlimited Bladeworks
,Kalafina,Manten,Fate/Zero
,Eir Aoi,MEMORIA ,Fate/Zero
,LiSA,Oath Sign ,Fate/Zero
,Haruna Luna,Sora wa Takaku Kaze wa Utau ,Fate/Zero
,Kalafina,To the beginning ,Fate/Zero
,TO-MAS feat. Chima,FLIP FLAP FLIP FLAP ,Flip Flappers
,ZAQ,Serendipity ,Flip Flappers
,miwa feat. 96Neko,Sharanran ,Flying Witch
,Lia,Kizunairo ,Fortune Arterial
,OLDCODEX,Dried Up Youthful Fame ,Free!
,STYLE FIVE,FUTURE FISH ,Free!
,OLDCODEX,Rage on ,Free!
,STYLE FIVE,SPLASH FREE ,Free!
,Utada Hikaru,This Is Love ,Freedom
,Maria,Color ,Freezing
,Moie Mizuki,Let's! Fresh Pretty Cure!,Fresh Pretty Cure!
,Vickeblanka,Lucky Ending ,Fruits Basket
,Beverly,Again ,Fruits Basket (2019)
,in NO hurry to shout;,Allegro ,Fukumenkei Noise
,in NO hurry to shout;,High School ,Fukumenkei Noise
,in NO hurry to shout;,High School [ANIME SIDE] -Alternative- ,Fukumenkei Noise
,Mikuni Shimokawa,Sore Ga Ai Deshou ,Full Metal Panic
,Mikuni Shimokawa,Tomorrow ,Full Metal Panic
,Mikuni Shimokawa,Karenai Hana,Full Metal Panic!
,Sowelu,I Will ,Fullmetal Alchemist
,Nana Kitade,Kesenai tsumi ,Fullmetal Alchemist
,Porno Graffiti,Melissa ,Fullmetal Alchemist
,L'Arc~en~Ciel,READY STEADY GO ,Fullmetal Alchemist
,Asian Kung-fu Generation,Rewrite ,Fullmetal Alchemist
,YeLLOW Generation,Tobira no mukou e ,Fullmetal Alchemist
,Cool Joke,Undo ,Fullmetal Alchemist
,YUI,Again ,Fullmetal Alchemist: Brotherhood
,Sukima Switch,Golden time lover ,Fullmetal Alchemist: Brotherhood
,NICO Touches the Walls,Hologram ,Fullmetal Alchemist: Brotherhood
,Miho Fukuhara,LET IT OUT ,Fullmetal alchemist: Brotherhood
,CHEMISTRY,Period ,Fullmetal Alchemist: Brotherhood
,SID,Rain ,Fullmetal Alchemist: Brotherhood
,Shoko Nakagawa,Ray of Light ,Fullmetal Alchemist: Brotherhood
,SCANDAL,Shunkan Sentimental ,Fullmetal Alchemist: Brotherhood
,Lil'B,Tsunaida Te,Fullmetal Alchemist: Brotherhood
,Sid,Uso ,Fullmetal Alchemist: Brotherhood
,L'Arc~en~Ciel,Link ,Fullmetal Alchemist: The Conqueror of Shamballa
,Hikaru Utada,PINK BLOOD ,Fumetsu no Anata E
,Youko Ueno,Chijou no seiza ,Fushigi Yuugi Eikoden
,Mayumi Gojo,DANZEN! Futari wa Precure,Futari wa Precure
,Buzy,Venus Say ,Futatsu no Spica
,Manami Numakura,Climber's High ,Fuuka
,Kyoco,Tamashii RISES ,Fuun Ishin Dai Shogun
,Saeko Zougou,UPON A STAR ,Fuun Ishin Dai Shogun
,Minori Chihara,Paradise Lost ,Ga-Rei Zero
,"Kana Hanazawa, Miyu Tomita, Saori Oonishi & Naomi Oozora",Hallelujah?Essaim ,Gabriel Dropout
,Gakuen Seikatsubu,Friend Shitai ,Gakkou Gurashi
,Cascade,Sexy Sexy ,Gakkou no Kaidan
,Haruka Chisuga,Ai no Uta -words of love- ,Gakusen Toshi Asterisk
,Shiena Nishizawa,Brand-new World ,Gakusen Toshi Asterisk
,Shiena Nishizawa,The Asterisk War ,Gakusen Toshi Asterisk
,Galaxy Angel,Galaxy Bang! Bang! ,Galaxy Angel
,Negoto,Synchromanica ,Galilei Donna
,Miho Nemoto,Negai ,Game Shogo: Mobile Armor Division
,"Hisako Kanemoto, Manaka Iwami and Rumi Ookubo",GAMERS! ,GAMERS!
,STEREO DIVE FOUNDATION,Renegade ,Gangsta.
,Annabel,Yoru no Kuni ,Gangsta.
,Bonnie Pink,Last kiss ,Gantz
,Ichiro Fujiyama,Rajio no kohemi ,Gantz
,Rip Slyme,Super Shooter ,Gantz
,Sayaka Sasaki,CHIASTOLITE ,Garo: Honoo no Kokuin
,White Ash,Crowds ,GATCHAMAN Crowds
,White Ash,Insight ,GATCHAMAN Crowds
,Kishida Kyoudan & The Akeboshi Rockets,GATE Sore wa Akatsuki no you ni ,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
,Kishida Kyoudan & The Akeboshi Rockets,GATE II ~Sekai wo Koete~ ,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2"
,Masayoshi Ooishi,Kimi Janakya Dame Mitai ,Gekkan Shoujo Nozaki-kun
,Ari Ozawa,Ura Omote Fortune ,Gekkan Shoujo Nozaki-kun
,Hidenori Tokuyama,For real ,Gensomaden Saiyuki
,Hidenori Tokuyama,Still Time ,Gensomaden Saiyuki
,PIERROT,Barairo no sekai ,GetBackers
,Bon-bon blanco,Namida no hurricane ,GetBackers
,Naomi Tamura,Yuragu Koto Nai Ai ,GetBackers
,JAM Project,Heats 2021 ,Getter Robo Armageddon
,G.P.S,Get tough! ,Giant Killing
,The Cherry Cokes,My Story ~Mada Minu Ashita e~ ,Giant Killing
,Sukima Switch,Hello Especially ,Gin no Saji
,Miwa,Kiss you ,Gin no Saji
,Fujifabric,Life ,Gin no Saji S2
,Goose house,Oto no Naru Hou e ,Gin no Saji S2
,Lisa,Sea of the Stars,Ginga Eiyuu Densetsu
,SawanoHiroyuki[nZk] Uru,Binary Star,Ginga Eiyuu Densetsu: Die Neue These
,knotlamp,Across My World ,Ginga e Kickoff!
,Nakano Fujo Sisters,Ame Tokidoki Hare Nochi Niji ,Ginga e Kickoff!
,Fudanjuku,Jinsei Wahaha! ,Ginga e Kickoff!
,Chiaki Ishikawa,Sayonara tte Iu ,Ginga Kikoutai Majestic Prince
,Natsumi Kon,Watashi wa Souzou Suru ,Ginga Kikoutai Majestic Prince
,Swimy,Acchi Muite ,Gintama
,DOES,Bakuchi Dancer ,Gintama
,Prague,Balance Doll ,Gintama
,OKAMOTO'S,Beautiful Days ,Gintama
,DOES,Bokutachi no Kisetsu ,Gintama
,Hitomi Takahashi,Candy Line ,Gintama
,BLUE ENCOUNT,DAYxDAY ,Gintama
,Negoto,Destiny ,Gintama
,Ecosystem,Dilemma ,Gintama
,DOES,Donten ,Gintama
,THREE LIGHTS DOWN KINGS,Glorious Days ,Gintama
,CHiCO with HoneyWorks,Hikari Shoumeiron ,Gintama
,SPYAIR,I wanna be... ,Gintama
,AZU,In My Life ,Gintama
,FLiP,Kaatoniago ,Gintama
,Shigi,Kagayaita ,Gintama
,?eaL,Kagerou ,Gintama
,Hearts Grow,Kasanaru Kage ,Gintama
,Snowkel,Kiseki ,Gintama
,DOES,KNOW KNOW KNOW ,Gintama
,Amoyamo,Let's Go Out ,Gintama
,Prague,Light Infection ,Gintama
,Tommy heavenly6,Pray ,Gintama
,CHiCO with HoneyWorks,Pride Kakumei ,Gintama
,Aqua Timez,Saigo Made II ,Gintama
,SPYAIR,Sakura Mitsu Tsuki ,Gintama
,piko,Sakurane ,Gintama
,SPYAIR,Samurai Heart (Some Like It Hot!!) ,Gintama
,Qwai,Sayonara no Sora ,Gintama
,DOES,Shura ,Gintama
,KELUN,SIGNAL ,Gintama
,The Rodeo Carburettor,Speed of Flow ,Gintama
,Base Ball Bear,Stairway Generation ,Gintama
,serial TV drama,Tougenkyou Alien ,Gintama
,Vijandeux,Wave ,Gintama
,Hitomi Takahashi x BEAT CRUSADERS,Wo Ai Ni ,Gintama
,FLiP,Wonderland ,Gintama
,Nanawo Akari,Ashita no watashi ni sachi are,"Girudo no uketsukejou desu ga, zangyou wa iya nanode bosu wo sorotoubatsu shiyou to omoimasu"
,ChouCho,Natsu no Hi to Kimi no Koe ,Glasslip
,Soraru,Gin no Kisei ,Goblin Slayer
,Mili,Rightfully ,Goblin Slayer
,Petit Rabbit's,No Poi! ,Gochuumon wa Usagi desu ka
,Chimame-tai,Tokimeki Poporon ,Gochuumon wa Usagi desu ka
,OLDCODEX,Feed A ,God EATER
,Computerjockeys,My Golden Boy ,Golden boy
,THE SIXTH LIE,Hibana ,Golden Kamuy
,Yui Horie,Golden Time ,Golden Time
,Yui Horie,Sweet&Sweet CHERRY ,Golden Time
,Yoshiki Lisa,Destin Histoire ,Gosick
,Lisa Komine,Resuscitated Hope ,Gosick
,Lisa Komine,unity ,Gosick
,BUMP OF CHICKEN,Go ,Granblue Fantasy
,S.I.N.G,B— Xi…n ,Grandmaster of Demonic Cultivation
,Xiao Zhan _ Wang Yibo,W£ Ji ,Grandmaster of Demonic Cultivation
,sis zuhe,Xiaoy o J ,Grandmaster of Demonic Cultivation
,Terry Lin,Zu MŠng Qi n Ch‚n ,Grandmaster of Demonic Cultivation
,Kotani Kinya,Glaring Dream ,Gravitation
,L'Arc~en~Ciel,Driver's High ,Great Teacher Onizuka
,Porno Graffitti,Hitori no Yoru ,Great Teacher Onizuka
,Yuria,Aozora ,Green Green
,Hiromi Satou,Guri Guri ,Green Green
,Maon Kurosaki,Rakuen no Tsubasa ,Grisaia no Kajitsu
,Maon Kurosaki,Setsuna no Kajitsu ,Grisaia no Rakuen
,"Daisuke Ono, Takahiro Sakurai & Jouji Nakata",Welcome!! DISCO Kemokemoke ,Gugure! Kokkuri-san
,Egoist,Departures -Anata ni Okuru Ai no Uta- ,Guilty Crown
,Hiroyuki Sawano,Release my soul,Guilty Crown
,Egoist,The Everlasting Guilty Crown ,Guilty Crown
,Supercell,Kokuhaku ,Guilty Crown 
,Supercell,My Dearest,Guilty Crown 
,Round Table featuring Nino,Groovin' Magic ,Gunbuster 2
,EDGE of LIFE,Just Fly Away ,Gundam Build Fighters Try
,CooRie,Bokutachi no Yukue ,Gundam SEED Destiny
,Aoi Tada,Scarborough Fair ,Gunslinger Girl
,Tada Aoi,Doll ,Gunslinger Girl II
,KOKIA,Tatta Hitotsu no Omoi ,Gunslinger Girl II
,GARNiDELiA,MIRAI ,Gunslinger Stratos: The Animation
,Mashiro Ayano,vanilla sky ,Gunslinger Stratos: The Animation
,Demon Kakka & Arika Takarano,Jikuu no Mayoi Hito ,"Hachi-nan tte, Sore wa Nai deshou"
20.8.2023 klo 12.16.55,(K)NoW_NAME,Harvest ,Hai to Gensou no Grimgar
20.8.2023 klo 12.17.27,(K)NoW_NAME,Knew day ,Hai to Gensou no Grimgar
,Galileo Galilei,Climber ,Haikyuu
,Burnout syndromes,FLY HIGH!!,Haikyuu
,Burnout syndromes,Hikari are ,Haikyuu
,SPYAIR,I'm a Believer ,Haikyuu
,SPYAIR,Imagination ,Haikyuu
,SPYAIR,One Day,Haikyuu
,Ushiro Kara Hai Yori Tai G,Koi wa Chaos no Shimobe Nari ,Haiyore Nyaruko–san
,Ushiro Kara Hai Yori Tai G,Taiyou Iwaku Moe yo Chaos ,Haiyore Nyaruko–san
,Shocking Lemon,Inner Light ,Hajime no Ippo
,Shocking Lemon,Under Star ,Hajime no Ippo
,Naoya Mori,Yuuzora no Kamihikouki ,Hajime no Ippo
,Last Alliance,Hekireki ,Hajime no Ippo: New Challenger
,DENKI GROOVE,Mononoke Dance ,Hakaba Kitarou
,Faylan,Wonder fang,Hakkenden: Touhou Hakken Ibun
,Faylan,God FATE ,Hakkenden: Touhout Hakken Ibun
,Aika Yoshioka,Izayoi Namida ,Hakuoki
,Aika Yoshioka,Maikaze ,Hakuoki
,Aika Yoshioka,Yume no Ukifune ,Hakuoki
,livetune adding Yuuki Ozaki,FLAT ,Hamatora
,Wataru Hatano,Hikari ,Hamatora
,Shouta Aoi,BAD END ,Hamefura
,Itou Kanako,Hotarubi ,Hanachirasu
,Kanako Itou,Hotarubi ,Hanachirasu
,J-Min,Change ,Hanasakeru Seishounen
,Nano. Ripe,Hana no Iro ,Hanasaku Iroha
,Team Hanayamata,Hana wa Odore ya Irohaniho ,Hanayamata
,Orange Range,Ikenai Taiyou ,Hanazari no Kimitachi
,P-chicks,Jump ~ Meippai Dakishimete ,Hand Maid May
,Fo'xTails,The LiBERTY ,Handa-kun
,Azuma Hitomi,Harinezumi ,Harinezumi
,ChouCho,Kuusou Triangle ,Haruchika: Haruta to Chika wa Seishun suru
,fhána,Niji wo Ametara ,Haruchika: Haruta to Chika wa Seishun suru
,nano.RIPE,Gekka,Hataraku Maou-sama!
,Minami Kuribayashi,ZERO!!,Hataraku Maou-sama!
,ClarisS,CheerS,Hataraku Saibou
,POLYSICS & Seiya Yamasaki,Hashire! ,Hataraku Saibou Black
,Itou Kanako,Heartbreaking Romance ,Hatenkou Yuugi
,Kotoko,Hayate No Gotoku ,Hayate no Gotoku
,Kotoko,Shichitenhakki Shijou Shugi ,Hayate no Gotoku
,Isabelle Huang,B£ S…n ,Heaven Official's Blessing
,Hu Xia,H¢ng Ju‚ ,Heaven Official's Blessing
,Jeff Chang,W£ Bi‚ ,Heaven Official's Blessing
,Kano,Dear Brave ,Heavy Object
,ALL OFF,Never Gave Up ,Heavy Object
,ALL OFF,One More Chance!! ,Heavy Object
,FEEL SO BAD,Bari Bari Saikyou no. 1 ,Hell Teacher Nube
,Yasushi Ishii,Logos Naki World ,Hellsing
,Yui Ogura,Baby Sweet Berry Love ,Hentai Ouji to Warawanai Neko
,Yukari Tamura,Fantastic Future ,Hentai Ouji to Warawanai Neko
,HIGH and MIGHTY COLOR,Flashback ,Hero Tales
,HIGH and MIGHTY COLOR,Komorebi no Uta ,Hero Tales
,Angela,Gravitation ,Heroic Age
,Mass Alert,Boku no Te wa Kimi no Tame ni ,Heroman
,FLOW,CALLING ,Heroman
,Kylee,Missing ,Heroman
,Tetsuya,Roulette ,Heroman
, TRUE,Dream Solister,Hibike! Euphonium
,"Kana Asumi, Kaori Mizuhashi, Ryouko Shintani & Yuuko Gotou",Dekirukanatte??? ,Hidamari Sketch
,"Yuno, Miyako, Hiro, Sae, Nori & Nazuna",Open?Canvas ,Hidamari Sketch
,Marble,Sakura Sakura Saku ,Hidamari Sketch
,"Kana Asumi, Kaori Mizuhashi, Ryouko Shintani & Yuuko Gotou",Sketch Switch ,Hidamari Sketch
,Nano,Bull's eye ,Hidan no Aria
,Aiko Nakano,Camellia no Hitomi ,Hidan no Aria
,Nano,DREAMCATCHER ,Hidan no Aria
,May'n,Scarlet Ballet ,Hidan no Aria
,School Food Punishment,Futuristic Imagination ,Higashi no Eden
,Tsukuyomi,Kyuuseishu,Higeki no Genkyou to Naru Saikyou Gedou Last Boss
,StylipS,STUDYxSTUDY ,High School DxD
,Larval Stage Planning,Trip Innocent of D ,High School DxD
,ChouCho,BLESS YoUr NAME ,High School DxD BorN
,Team Ootori,Ayanagi Show Time ,High School Star Musical
,Gero,Dreamer ,High School Star Musical
,Team Ootori,Seishun COUNTDOWN ,High School Star Musical
,Kishida Kyoudan,Highschool Of The Dead ,Highschool of the Dead
,Maon Kurosaki,Hollow Men ,Highschool of the Dead
,Maon Kurosaki,Kimi to Taiyou ga Shinda hi ,Highschool of the Dead
,Maon Kurosaki,Memories of Days Gone By ,Highschool of the Dead
,Ayane & Kanako Itou,Ascension ,Higurashi no naku koro ni
,Yukari Tamura,Happy! Lucky! Dochy! ,Higurashi no naku koro ni
,Eiko Shimamiya,Higurashi No Naku Koro Ni ,Higurashi no naku koro ni
,Eiko Shimamiya,Naraku no hana ,Higurashi no naku koro ni
,Eiko Shimamiya,Super Scription of Data ,Higurashi no naku koro ni
,anNina,Taishou a ,Higurashi no naku koro ni
,Kanako Itou,Tsuisou no Despair ,Higurashi no Naku Koro Ni
,Maiko Fujita,Nee ,Hiiro no Kakera
,Aimi Tanaka,Kakushinteki?Metamaruphose! ,Himouto Umaru-chan
,Iori Nomizu,Darakena ,Hitsugi no Chaika
,Coffin Princess,Kairaku Genri ,Hitsugi no Chaika
,Iori Nomizu,Shikkoku wo Nuritsubuse ,Hitsugi no Chaika
,Crystal King,Ai wo torimodose!!,Hokuto no Ken
,Jigoku no Sata All Stars,Jigoku no Sata mo Kimi Shidai ,Hoozuki no Reitetsu
,Sadesper Record feat. Sumire Uesaka,Parallax View ,Hoozuki no Reitetsu
,Sumire Uesaka,Riverside Lovers ,Hoozuki no Reitetsu
,Omoinotake,Shiawase,Horimiya -piece-
,Kanako Itou,Kimi no Namae no Kaze ga Fuku ,Hortensia Saga
,MY FIRST STORY,LEADER ,Hortensia Saga
,Mafumafu,Yasou to Hakuchuumu ,Hortensia Saga
,Yuiko Ohara,Kirameku Hamabe ,Houseki no Kuni
,YURiKA,Kyoumen no Nami ,Houseki no Kuni
,Sunflower's Garden,Believe in Tomorrow ,Hunter x Hunter
,Masatoshi Ono,departure! ,Hunter x Hunter
,Masatoshi Ono,departure!  -second version- ,Hunter x Hunter
,YUZU feat. HYADAIN,Hyouri Ittai ,Hunter x Hunter
,"Fear, and Loathing in Las Vegas",Just Awake ,Hunter x Hunter
,Minako Honda,Kaze no Uta ,Hunter x Hunter
,Sunflower's Garden,Moshimo Kono Sekai de Kimi to Boku ga Deaenakatta Nara ,Hunter x Hunter
,YUZU,Nagareboshi Kirari ,Hunter x Hunter
,Keno,Ohayou ,Hunter x Hunter
,Kenichi Kurosawa,Pale Ale ,Hunter x Hunter
,YUZU,REASON ,Hunter x Hunter
,Wino,Taiyo wa Yoru mo Kagayaku ,Hunter x Hunter
,Hozumi Goda,Hotaru ,Hunter x Hunter (2011)
,Galneryus,Hunting for Your Dream ,Hunter x Hunter (2011)
,Faylan,Last vision for last ,Hyakka Ruouran Samurai Girls
,Saori Kodama,Mikansei Stride ,Hyouka
,Choucho,Yasashisa no Riyuu ,Hyouka
,Hinoi Team,Ike Ike ,Ichigo 100%
,Dream,Shine Of Voice ,Ichigo 100%
,THE PINBALLS,Needleknot ,Ikebukuro West Gate Park
,Yuki Kimura,Fall In You ,Iketeru Futari
,m.o.v.e,Drivin Through The Night ,Ikkitousen
,Ami,No x Limit ,Ikkitousen
,Inazuma Eleven Go! All Stars,Bokutachi no shiro ,Inazuma Eleven
,Berryz Koubou,Shining Power ,Inazuma Eleven
,T-Pistonz + KMC,Ten Made Todoke ,Inazuma Eleven
,Minami Kuribayashi,Straight Jet ,Infinite Stratos
,Yoko Hikasa,Super Stream ,Infinite Stratos
,m.o.v.e,Blazin' Beat,Initial D
,Dave Rodgers,Deja Vu,Initial D
,m.o.v.e,Gamble Rumble,Initial D
,m.o.v.e,Rage your dream,Initial D
,Max Coveri,Running in the 90's,Initial D
,m.o.v.e,Dogfight ,Initial D Fourth Stage
,FripSide,Fortissimo -From Insanity Affection- ,Insanity Affection
,FripSide,Fortissimo -The Ultimate Crisis- ,Insanity Affection
,Mamoru Miyano,One Way ,Inu x Boku
,Yuuichi Nakamura,Rakuen no Photograph ,Inu x Boku
,Kana Hanazawa,Sweet Parade ,Inu X Boku
,Yoshimasa Hosoya & Youko Hikasa,Taiyou to Tsuki ,Inu x Boku
,Rina Hidaka,Kimi wa ,Inu x Boku SS
,Mucc,Nirvana ,Inu x Boku SS
,Tomokazu Sugita,SM Hantei Forum ,Inu x Boku SS
,Hitomi Shimatani,Angelus ,InuYasha
,V6,Change the World ,InuYasha
,Namie Amuro,Come ,InuYasha
,Alan,Diamond ,InuYasha
,Kwon Boa,Every Heart ,InuYasha
,Do As Infinity,Fukai Mori ,InuYasha
,Hitomi Furuya,I am ,InuYasha
,Day After Tomorrow,Itazura na KISS ,InuYasha
,Do As Infinity,Kimi ga Inai Mirai ,InuYasha
,Dream,My Will ,InuYasha
